UC_AGENT_BASED
percentageOfVisitedNodes
median
(1, 39.33)
(2, 14.00)
(3, 9.56)
(4, 7.08)
(5, 6.00)
(6, 5.28)
(7, 3.86)
(8, 4.29)
(9, 3.71)
(10, 3.23)
(11, 2.82)
(12, 2.47)
(13, 2.72)
(14, 2.55)
(15, 2.09)
(16, 2.00)
(17, 2.10)
(18, 2.11)
(19, 1.81)
(20, 1.81)
confidence interval upper bound
(1, 38.00)
(2, 14.00)
(3, 9.56)
(4, 7.33)
(5, 6.53)
(6, 5.00)
(7, 4.10)
(8, 3.16)
(9, 3.41)
(10, 2.80)
(11, 2.54)
(12, 2.50)
(13, 2.52)
(14, 2.24)
(15, 2.09)
(16, 1.87)
(17, 1.84)
(18, 1.59)
(19, 1.58)
(20, 1.30)
confidence interval lower bound
(1, 39.33)
(2, 14.67)
(3, 9.56)
(4, 7.00)
(5, 6.13)
(6, 5.23)
(7, 4.57)
(8, 4.49)
(9, 3.71)
(10, 3.66)
(11, 2.85)
(12, 2.72)
(13, 2.66)
(14, 2.62)
(15, 2.13)
(16, 2.00)
(17, 2.08)
(18, 2.30)
(19, 2.04)
(20, 1.83)
UC_NDCS
percentageOfVisitedNodes
median
(1, 49.33)
(2, 20.67)
(3, 12.00)
(4, 9.75)
(5, 8.47)
(6, 7.78)
(7, 6.14)
(8, 5.58)
(9, 5.33)
(10, 4.97)
(11, 4.55)
(12, 4.41)
(13, 3.69)
(14, 3.57)
(15, 3.22)
(16, 3.18)
(17, 2.87)
(18, 2.66)
(19, 2.77)
(20, 2.15)
confidence interval upper bound
(1, 46.00)
(2, 19.67)
(3, 12.00)
(4, 9.66)
(5, 8.67)
(6, 7.67)
(7, 5.90)
(8, 5.67)
(9, 5.55)
(10, 5.27)
(11, 4.79)
(12, 4.49)
(13, 4.00)
(14, 3.52)
(15, 3.29)
(16, 3.16)
(17, 3.15)
(18, 3.10)
(19, 3.12)
(20, 2.53)
confidence interval lower bound
(1, 51.99)
(2, 21.33)
(3, 12.89)
(4, 10.00)
(5, 8.01)
(6, 7.67)
(7, 6.19)
(8, 5.66)
(9, 4.96)
(10, 4.74)
(11, 4.18)
(12, 4.16)
(13, 3.79)
(14, 3.38)
(15, 3.11)
(16, 2.83)
(17, 2.63)
(18, 2.40)
(19, 2.24)
(20, 2.00)
